book_names,author_pages,no_of_pages,no_of_ratings,avg_rating,my_rating,date_added,date_read,image_sources,image_name,name
Perfection,https://www.goodreads.com/author/show/4465561.Vincenzo_Latronico,120,32171,3.71,4.0,"May 02, 2025","May 02, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1738359727l/225025440._SY75_.jpg,www/cover_66.png,Vincenzo Latronico
Blonde Roots,https://www.goodreads.com/author/show/51051.Bernardine_Evaristo,263,8928,3.6,3.0,"April 07, 2025","Apr 28, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1597755879l/55010264._SY75_.jpg,www/cover_67.png,Bernardine Evaristo
Cennetin Doğusu,https://www.goodreads.com/author/show/585.John_Steinbeck,644,638806,4.44,5.0,"April 07, 2025","Apr 21, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1628246965l/58712260._SY75_.jpg,www/cover_68.png,John Steinbeck
Leonard and Hungry Paul,https://www.goodreads.com/author/show/18776546.Ronan_Hession,245,18871,4.12,4.0,"March 30, 2025","Apr 09, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1547072947l/43525053._SX50_.jpg,www/cover_69.png,Ronan Hession
İnci,https://www.goodreads.com/author/show/585.John_Steinbeck,92,271927,3.57,4.0,"April 02, 2025","Apr 02, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1696104448l/199238866._SX50_.jpg,www/cover_70.png,John Steinbeck
The Silent Patient,https://www.goodreads.com/author/show/17621440.Alex_Michaelides,359,3257168,4.17,3.0,"March 30, 2025",Apr 2025,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1579068889l/45892184._SY75_.jpg,www/cover_71.png,Alex Michaelides
When the Doves Disappeared,https://www.goodreads.com/author/show/1129509.Sofi_Oksanen,304,3954,3.45,3.0,"March 11, 2025","Mar 26, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1413605877l/23390438._SX50_SY75_.jpg,www/cover_72.png,Sofi Oksanen
"A Dance with Dragons (A Song of Ice and Fire, #5)",https://www.goodreads.com/author/show/346732.George_R_R_Martin,1125,738448,4.34,4.0,"January 24, 2025","Mar 23, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1753059444l/10664113._SY75_.jpg,www/cover_73.png,George R.R. Martin
Panenka,https://www.goodreads.com/author/show/18776546.Ronan_Hession,166,8224,3.98,4.0,"March 06, 2025","Mar 08, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1669131277l/63552956._SY75_.jpg,www/cover_74.png,Ronan Hession
Rickshaw Boy: A Novel,https://www.goodreads.com/author/show/93509.Lao_She,322,2736,3.91,2.0,"February 10, 2025","Mar 02, 2025",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1394343667l/20164837._SY75_.jpg,www/cover_75.png,Lao She
